year,ann inc,unc,mean,mean_gl,unc
,,,,,
1959,0.94,0.11,315.98,336.85,0.11
1960,0.5,0.11,316.91,338.91,0.07
1961,0.96,0.11,317.64,340.11,0.09
1962,0.65,0.11,318.45,340.85,0.03
1963,0.71,0.11,318.99,342.53,0.06
1964,0.31,0.11,319.62,344.07,0.08
1965,1.06,0.11,320.04,345.54,0.07
1966,1.28,0.11,321.37,346.97,0.07
1967,0.69,0.11,322.18,348.68,0.1
1968,1.06,0.11,323.05,351.16,0.07
1969,1.35,0.11,324.62,352.78,0.07
1970,1,0.11,325.68,354.05,0.07
1971,0.8,0.11,326.32,355.39,0.07
1972,1.74,0.11,327.46,356.09,0.06
1973,1.18,0.11,329.68,356.83,0.07
1974,0.96,0.11,330.19,358.33,0.08
1975,1.09,0.11,331.13,360.17,0.05
1976,0.8,0.11,332.03,361.93,0.04
1977,2.15,0.11,333.84,363.05,0.05
1978,1.31,0.11,335.41,365.7,0.04
1979,1.83,0.11,336.84,367.8,0.05
1980,1.68,0.11,338.76,368.96,0.06
1981,1.43,0.11,340.12,370.57,0.05
1982,0.86,0.11,341.48,372.59,0.04
1983,2.36,0.11,343.15,375.15,0.04
1984,1.51,0.11,344.87,376.95,0.06
1985,1.22,0.11,346.35,378.98,0.05
1986,1.47,0.11,347.61,381.15,0.05
1987,2.06,0.11,349.31,382.9,0.04
1988,2.24,0.11,351.69,385.02,0.05
1989,1.24,0.11,353.2,386.5,0.04
1990,1.2,0.11,354.45,388.76,0.06
1991,1.05,0.11,355.7,390.63,0.05
1992,0.49,0.11,356.54,392.65,0.06
1993,1.36,0.11,357.21,395.4,0.06
1994,1.96,0.11,358.96,397.34,0.05
1995,2.01,0.11,360.97,399.65,0.05
1996,1.24,0.11,362.74,403.08,0.06
1997,1.91,0.11,363.88,405.22,0.07
1998,2.97,0.11,366.84,407.58,0.07
1999,0.92,0.11,368.54,410.04,0.07
2000,1.62,0.11,369.71,412.51,0.06
2001,1.62,0.11,371.32,414.81,0.07
2002,2.51,0.11,373.45,417.24,0.07
2003,2.26,0.11,375.98,419.55,0.15
2004,1.59,0.11,377.7,,
2005,2.57,0.11,379.98,,
2006,1.69,0.11,382.09,,
2007,2.31,0.11,384.02,,
2008,1.54,0.11,385.83,,
2009,2,0.11,387.64,,
2010,2.3,0.11,390.1,,
2011,1.92,0.11,391.85,,
2012,2.65,0.11,394.06,,
2013,1.99,0.11,396.74,,
2014,2.17,0.11,398.82,,
2015,2.95,0.11,401.02,,
2016,3.03,0.11,404.41,,
2017,1.91,0.11,406.77,,
2018,2.83,0.11,408.72,,
2019,2.49,0.11,411.66,,
2020,2.27,0.11,414.21,,
2021,2.39,0.11,416.41,,
2022,1.82,0.11,418.53,,
2023,3.37,0.11,421.08,,
