지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm)
132,안면도(감),1999,371.2
132,안면도(감),2000,373.3
132,안면도(감),2001,375.6
132,안면도(감),2002,377.6
132,안면도(감),2003,379.9
132,안면도(감),2004,382.1
132,안면도(감),2005,384.3
132,안면도(감),2006,386.5
132,안면도(감),2007,388.6
132,안면도(감),2008,390.7
132,안면도(감),2009,392.6
132,안면도(감),2010,394.9
132,안면도(감),2011,396.8
132,안면도(감),2012,399.9
132,안면도(감),2013,402.4
132,안면도(감),2014,404.6
132,안면도(감),2015,407
132,안면도(감),2016,409.9
132,안면도(감),2017,412.2
132,안면도(감),2018,415.2
132,안면도(감),2020,420.4
132,안면도(감),2021,423.1
132,안면도(감),2022,425
