x_train,y_train
"[0.6181474480151228, 0.6691871455576558, 0.6691871455576558]",16.499999999999996
"[0.6691871455576558, 0.6691871455576558, 0.6748582230623816]",17.6
"[0.6691871455576558, 0.6748582230623816, 0.6956521739130433]",12.999999999999996
"[0.6748582230623816, 0.6956521739130433, 0.6086956521739129]",11.300000000000004
"[0.6956521739130433, 0.6086956521739129, 0.5765595463137996]",8.899999999999999
"[0.6086956521739129, 0.5765595463137996, 0.5311909262759923]",11.600000000000001
"[0.5765595463137996, 0.5311909262759923, 0.5822306238185254]",14.199999999999998
"[0.5311909262759923, 0.5822306238185254, 0.6313799621928164]",15.399999999999997
"[0.5822306238185254, 0.6313799621928164, 0.65406427221172]",13.9
"[0.6313799621928164, 0.65406427221172, 0.6257088846880906]",13.800000000000004
"[0.65406427221172, 0.6257088846880906, 0.6238185255198487]",12.999999999999996
"[0.6257088846880906, 0.6238185255198487, 0.6086956521739129]",13.099999999999998
"[0.6238185255198487, 0.6086956521739129, 0.6105860113421548]",14.099999999999996
"[0.6086956521739129, 0.6105860113421548, 0.6294896030245745]",16.399999999999995
"[0.6105860113421548, 0.6294896030245745, 0.6729678638941397]",14.299999999999999
"[0.6294896030245745, 0.6729678638941397, 0.6332703213610584]",13.9
"[0.6729678638941397, 0.6332703213610584, 0.6257088846880906]",18.3
"[0.6332703213610584, 0.6257088846880906, 0.7088846880907371]",15.199999999999996
"[0.6257088846880906, 0.7088846880907371, 0.6502835538752361]",15.399999999999997
"[0.7088846880907371, 0.6502835538752361, 0.65406427221172]",13.099999999999998
"[0.6502835538752361, 0.65406427221172, 0.6105860113421548]",9.700000000000001
"[0.65406427221172, 0.6105860113421548, 0.546313799621928]",12.700000000000001
"[0.6105860113421548, 0.546313799621928, 0.603024574669187]",11.799999999999997
"[0.546313799621928, 0.603024574669187, 0.5860113421550093]",14.000000000000002
"[0.603024574669187, 0.5860113421550093, 0.6275992438563326]",13.800000000000004
"[0.5860113421550093, 0.6275992438563326, 0.6238185255198487]",14.299999999999999
"[0.6275992438563326, 0.6238185255198487, 0.6332703213610584]",12.200000000000001
"[0.6238185255198487, 0.6332703213610584, 0.5935727788279772]",13.4
"[0.6332703213610584, 0.5935727788279772, 0.6162570888468808]",16.100000000000005
"[0.5935727788279772, 0.6162570888468808, 0.6672967863894139]",14.199999999999998
"[0.6162570888468808, 0.6672967863894139, 0.6313799621928164]",6.4
"[0.6672967863894139, 0.6313799621928164, 0.4839319470699432]",5.899999999999999
"[0.6313799621928164, 0.4839319470699432, 0.4744801512287333]",8.600000000000001
"[0.4839319470699432, 0.4744801512287333, 0.5255198487712665]",9.499999999999998
"[0.4744801512287333, 0.5255198487712665, 0.5425330812854441]",5.699999999999999
"[0.5255198487712665, 0.5425330812854441, 0.4706994328922494]",4.099999999999999
"[0.5425330812854441, 0.4706994328922494, 0.44045368620037795]",6.900000000000002
"[0.4706994328922494, 0.44045368620037795, 0.49338374291115306]",7.9
"[0.44045368620037795, 0.49338374291115306, 0.5122873345935727]",10.3
"[0.49338374291115306, 0.5122873345935727, 0.5576559546313798]",9.900000000000002
"[0.5122873345935727, 0.5576559546313798, 0.550094517958412]",9.499999999999998
"[0.5576559546313798, 0.550094517958412, 0.5425330812854441]",9.499999999999998
"[0.550094517958412, 0.5425330812854441, 0.5425330812854441]",11.300000000000004
"[0.5425330812854441, 0.5425330812854441, 0.5765595463137996]",11.600000000000001
"[0.5425330812854441, 0.5765595463137996, 0.5822306238185254]",6.6
"[0.5765595463137996, 0.5822306238185254, 0.4877126654064271]",0.6
"[0.5822306238185254, 0.4877126654064271, 0.3742911153119092]",0.40000000000000097
"[0.4877126654064271, 0.3742911153119092, 0.37051039697542526]",2.6999999999999997
"[0.3742911153119092, 0.37051039697542526, 0.41398865784499045]",2.200000000000001
"[0.37051039697542526, 0.41398865784499045, 0.40453686200378064]",8.899999999999999
